Id,VeryActiveMinutes,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,TotalMinutesAsleep
1503960366,25,728,328,13,327
1503960366,21,776,217,19,384
1503960366,29,726,209,34,412
1503960366,36,773,221,10,340
1503960366,38,539,164,20,700
1503960366,50,775,264,31,304
1503960366,28,818,205,12,360
1503960366,19,838,211,8,325
1503960366,41,732,262,21,361
1503960366,39,709,238,5,430
1503960366,73,814,216,14,277
1503960366,31,833,279,23,245
1503960366,48,782,189,28,366
1503960366,16,815,243,12,341
1503960366,52,712,217,34,404
1503960366,33,730,246,35,369
1503960366,41,798,277,15,277
1503960366,50,816,254,24,273
1503960366,45,857,250,24,247
1503960366,24,754,289,6,334
1503960366,37,833,175,46,331
1503960366,44,574,203,8,594
1503960366,46,835,206,11,338
1503960366,46,746,214,31,383
1503960366,36,669,251,23,285
1644430081,0,1193,120,0,119
1644430081,9,816,402,71,124
1644430081,1,682,148,7,796
1644430081,0,991,295,0,137
1844505072,0,527,176,0,644
1844505072,0,218,184,0,722
1844505072,0,585,75,7,590
1927972279,0,734,55,0,750
1927972279,0,986,32,0,398
1927972279,0,941,51,0,475
1927972279,0,1058,192,0,296
1927972279,0,1167,95,0,166
2026352035,3,706,181,8,503
2026352035,0,663,238,0,531
2026352035,0,653,197,0,545
2026352035,0,687,188,0,523
2026352035,0,728,150,0,524
2026352035,0,1053,60,0,437
2026352035,0,785,141,0,498
2026352035,0,623,327,0,461
2026352035,0,749,153,0,477
2026352035,0,712,162,0,520
2026352035,0,458,432,0,522
2026352035,0,704,164,0,555
2026352035,0,821,260,0,506
2026352035,0,586,286,0,508
2026352035,0,626,331,0,513
2026352035,0,492,352,0,490
2026352035,0,594,233,0,573
2026352035,0,716,191,0,527
2026352035,0,716,355,0,511
2026352035,0,530,345,0,538
2026352035,0,479,475,0,468
2026352035,0,511,383,0,524
2026352035,0,665,229,0,511
2026352035,0,610,258,0,541
2026352035,0,543,401,0,531
2026352035,0,1002,17,0,357
2026352035,0,569,330,0,523
2026352035,0,330,343,0,456
2320127002,0,1129,242,0,61
2347167796,19,676,195,32,467
2347167796,1,705,206,48,445
2347167796,1,720,284,24,452
2347167796,1,508,249,7,556
2347167796,11,678,206,16,500
2347167796,0,648,382,7,465
2347167796,23,761,208,26,460
2347167796,9,781,206,27,405
2347167796,32,591,360,35,374
2347167796,0,584,360,0,442
2347167796,15,653,277,11,433
2347167796,0,732,227,0,436
2347167796,26,623,295,9,448
2347167796,0,764,229,0,408
2347167796,0,2,4,0,411
3977333714,44,777,131,19,274
3977333714,31,754,153,46,295
3977333714,5,801,214,23,291
3977333714,15,644,183,42,424
3977333714,31,663,153,83,283
3977333714,11,600,205,58,381
3977333714,4,605,214,95,412
3977333714,19,738,221,67,219
3977333714,2,845,164,98,152
3977333714,0,712,242,0,332
3977333714,33,731,188,12,355
3977333714,0,724,252,92,235
3977333714,30,660,129,95,310
3977333714,50,781,133,9,262
3977333714,7,797,170,95,250
3977333714,0,714,176,10,349
3977333714,15,804,190,8,261
3977333714,36,744,150,32,333
3977333714,43,687,194,52,237
3977333714,41,691,124,40,383
3977333714,24,713,176,143,230
3977333714,47,594,258,41,292
3977333714,14,852,142,96,213
3977333714,14,680,178,88,318
3977333714,29,676,168,55,323
3977333714,0,703,208,86,237
3977333714,9,688,171,116,259
3977333714,1,676,196,115,312
4020332650,4,712,331,15,501
4020332650,65,1222,55,21,77
4020332650,0,950,174,0,322
4020332650,13,531,346,46,478
4020332650,38,916,196,42,226
4020332650,0,855,177,0,385
4020332650,0,775,263,0,364
4020332650,0,774,206,0,442
4319703577,1,589,339,9,535
4319703577,0,752,228,0,465
4319703577,0,724,194,0,506
4319703577,1,824,58,9,515
4319703577,0,604,311,0,461
4319703577,0,671,306,18,523
4319703577,0,1265,34,0,59
4319703577,1,709,176,19,533
4319703577,0,546,233,0,692
4319703577,1,692,191,5,467
4319703577,0,544,390,8,488
4319703577,8,649,288,21,505
4319703577,6,680,300,47,286
4319703577,13,552,359,8,497
4319703577,6,624,289,18,523
4319703577,6,695,196,38,490
4319703577,0,836,67,0,484
4319703577,0,585,344,11,478
4319703577,8,669,287,26,474
4319703577,6,692,314,11,450
4319703577,3,586,279,28,507
4319703577,0,603,153,0,602
4319703577,2,490,374,14,535
4319703577,3,555,329,12,487
4319703577,3,574,311,18,529
4319703577,0,0,2,0,302
4388161847,0,837,299,0,499
4388161847,6,609,253,9,426
4388161847,0,721,201,0,619
4388161847,27,1017,239,8,99
4388161847,20,704,249,16,329
4388161847,19,696,228,42,421
4388161847,7,853,272,12,442
4388161847,77,945,220,25,82
4388161847,58,749,215,5,478
4388161847,14,584,239,8,552
4388161847,14,673,224,23,319
4388161847,11,684,241,48,439
4388161847,19,878,234,9,428
4388161847,14,537,300,43,409
4388161847,12,579,241,15,547
4388161847,33,935,204,4,368
4388161847,35,632,251,21,390
4388161847,12,896,199,39,471
4388161847,12,896,199,39,471
4388161847,120,508,260,56,472
4388161847,107,576,178,38,529
4388161847,6,1020,258,19,62
4388161847,13,648,267,14,354
4388161847,8,858,256,18,469
4445114986,0,787,196,0,429
4445114986,0,840,194,0,370
4445114986,0,717,231,0,441
4445114986,0,711,350,0,337
4445114986,0,716,225,0,462
4445114986,0,1219,114,0,98
4445114986,0,895,121,0,388
4445114986,0,841,137,0,439
4445114986,0,756,215,0,436
4445114986,0,706,317,0,388
4445114986,0,916,179,0,328
4445114986,29,839,180,1,353
4445114986,32,839,194,1,332
4445114986,0,762,236,0,419
4445114986,0,1106,226,0,106
4445114986,0,797,290,0,322
4445114986,0,741,240,0,439
4445114986,27,667,200,4,502
4445114986,30,725,233,2,417
4445114986,0,897,180,0,337
4445114986,2,734,185,6,462
4445114986,0,809,229,0,374
4445114986,26,866,108,4,401
4445114986,0,733,308,8,361
4445114986,0,641,266,0,457
